date,cash,portfolio_value,n_positions,n_trades
2023-08-17,109366.91494090957,109366.91494090957,0,1
2023-08-18,109366.91494090957,109366.91494090957,0,0
2023-08-21,109366.91494090957,109366.91494090957,0,0
2023-08-22,109366.91494090957,109366.91494090957,0,0
2023-08-23,5603.475118151771,107330.09579815177,2,2
2023-08-24,5603.475118151771,104769.96563815177,2,0
2023-08-25,2804.3304480613915,102564.28798406139,3,3
2023-08-28,3980.927525034145,101278.53229303415,3,2
2023-08-29,3558.892009208721,104876.62641320872,3,2
2023-08-30,3558.892009208721,105394.07738920872,3,0
2023-08-31,56888.382351990454,104993.78132999045,1,2
2023-09-01,56888.382351990454,105016.76527599044,1,0
2023-09-04,5920.491746985208,107853.6976949852,2,3
2023-09-05,5920.491746985208,107071.29705098522,2,0
2023-09-06,5920.491746985208,107890.2831549852,2,0
2023-09-07,107483.4408760195,107483.4408760195,0,2
2023-09-08,107483.4408760195,107483.4408760195,0,0
2023-09-11,107483.4408760195,107483.4408760195,0,0
2023-09-12,6237.903436773988,108601.02373677399,2,2
2023-09-13,6237.903436773988,108421.99411677399,2,0
2023-09-14,6237.903436773988,108226.42601677398,2,0
2023-09-15,108297.89621307429,108297.89621307429,0,2
2023-09-18,108297.89621307429,108297.89621307429,0,0
2023-09-19,108297.89621307429,108297.89621307429,0,0
2023-09-20,108297.89621307429,108297.89621307429,0,0
2023-09-21,108297.89621307429,108297.89621307429,0,0
2023-09-22,108297.89621307429,108297.89621307429,0,0
2023-09-25,108297.89621307429,108297.89621307429,0,0
2023-09-26,108297.89621307429,108297.89621307429,0,0
2023-09-27,108297.89621307429,108297.89621307429,0,0
2023-09-28,108297.89621307429,108297.89621307429,0,0
2023-10-09,5422.049009276772,107361.49325927677,1,1
2023-10-10,5422.049009276772,106433.83400927678,1,0
2023-10-11,5422.049009276772,106433.83400927678,1,0
2023-10-12,106374.74211505178,106374.74211505178,0,1
2023-10-13,5432.785337969377,105188.55756196938,2,2
2023-10-16,5432.785337969377,103783.92212196939,2,0
2023-10-17,5432.785337969377,105843.46821796938,2,0
2023-10-18,105219.9495652449,105219.9495652449,0,2
2023-10-19,105219.9495652449,105219.9495652449,0,0
2023-10-20,5351.431692714446,106150.26003871445,2,2
2023-10-23,5351.431692714446,102919.46146271445,2,0
2023-10-24,5351.431692714446,104321.58379271446,2,0
2023-10-25,5351.431692714446,106613.58379271445,2,0
2023-10-26,56163.7456825903,106626.74568259029,1,3
2023-10-27,56163.7456825903,107274.74568259029,1,0
