date,代码,名称,action,price,shares,amount,cost,profit,profit_pct,reason,hold_days
2026-02-02,sh.603185,弘元绿能,SELL,27.74,2400,66576.0,38.946960000000004,-116.61204000000726,-0.0017495217983894134,HOLD_EXPIRE,4
2026-02-02,sh.600340,华夏幸福,SELL,1.58,42700,67466.0,39.46761000000001,-3034.4562850000075,-0.04306576365251388,STOP_LOSS,1
2026-02-02,sh.600403,大有能源,BUY,6.95,9600,66720.0,5.671200000000001,0.0,,SIGNAL,0
2026-02-02,sz.000592,平潭发展,BUY,10.3,6500,66950.0,5.69075,0.0,,SIGNAL,0
2026-02-04,sh.600537,亿晶光电,SELL,3.43,31700,108731.0,63.607635,6584.716075000004,0.06450375631114837,HOLD_EXPIRE,4
2026-02-04,sz.002219,新里程,SELL,2.38,42900,102102.0,59.72967,-68.4083399999945,-0.0006699430548402848,HOLD_EXPIRE,4
2026-02-04,sh.600340,华夏幸福,BUY,1.58,65600,103648.0,8.810080000000001,0.0,,SIGNAL,0
2026-02-04,sz.002547,春兴精工,BUY,3.57,29000,103530.0,8.80005,0.0,,SIGNAL,0
2026-02-05,sh.600435,北方导航,SELL,16.58,4200,69636.0,40.73706,-886.7275200000004,-0.012580909168608635,HOLD_EXPIRE,4
2026-02-05,sh.603516,淳中科技,BUY,170.6,400,68240.0,5.800400000000001,0.0,,SIGNAL,0
2026-02-06,sh.600403,大有能源,SELL,7.07,9600,67872.0,39.70512,1106.6236800000042,0.016584676633421475,HOLD_EXPIRE,4
2026-02-06,sz.000592,平潭发展,SELL,12.0,6500,78000.0,45.63,10998.679250000001,0.16426802750892391,TAKE_PROFIT,4
2026-02-09,sz.002547,春兴精工,SELL,3.88,29000,112520.0,65.8242,8915.375749999992,0.0861066165118261,TAKE_PROFIT,3
2026-02-09,sz.002629,仁智股份,BUY,6.28,40900,256852.0,21.832420000000003,0.0,,SIGNAL,0
2026-02-10,sh.600340,华夏幸福,SELL,1.75,65600,114800.0,67.158,11076.031920000009,0.10685291117343643,TAKE_PROFIT,4
2026-02-10,sh.605255,天普股份,BUY,133.0,400,53200.0,4.522,0.0,,SIGNAL,0
2026-02-10,sh.600990,四创电子,BUY,27.94,2400,67056.0,5.69976,0.0,,SIGNAL,0
2026-02-11,sh.603516,淳中科技,SELL,157.68,400,63072.0,36.89712,-5210.697519999994,-0.07635191454212903,STOP_LOSS,4
2026-02-11,sh.600340,华夏幸福,BUY,1.7,19900,33830.0,2.87555,0.0,,SIGNAL,0
2026-02-11,sh.600403,大有能源,BUY,7.12,4700,33464.0,2.84444,0.0,,SIGNAL,0
2026-02-13,sz.002629,仁智股份,SELL,6.2,40900,253580.0,148.3443,-3442.1767199999886,-0.01340026225159392,HOLD_EXPIRE,4
2026-02-13,sh.605255,天普股份,SELL,129.0,400,51600.0,30.186,-1634.7079999999987,-0.03072498236146166,STOP_LOSS,3
2026-02-13,sh.600340,华夏幸福,SELL,1.63,19900,32436.999999999996,18.975645,-1414.8511949999993,-0.04181882775258219,STOP_LOSS,2
2026-02-13,sz.000016,深康佳A,BUY,3.75,43200,162000.0,13.770000000000001,0.0,,SIGNAL,0
2026-02-13,sh.601137,博威合金,BUY,20.12,8000,160960.0,13.681600000000001,0.0,,SIGNAL,0
2026-02-24,sh.600990,四创电子,SELL,27.09,2400,65016.0,38.03436000000001,-2083.734120000001,-0.031071895395691666,HOLD_EXPIRE,4
