代码,名称,date,open,high,low,close,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
sh.603909,建发合诚,2018-11-01,9.07257309,9.07257309,8.90981938,8.9325292,963701.0,22809990.0,3.854804,-1.666665,47.977203,3.650525,5.260265,-1189.853502
sh.603909,建发合诚,2018-11-02,9.00065866,9.06500315,8.9325292,9.03093842,935800.0,22238722.0,3.7432,1.101696,48.505766,3.690743,5.318217,-1202.962057
sh.603909,建发合诚,2018-11-05,9.03850836,9.64788853,9.03472339,9.57218913,1640800.0,40103193.0,6.5632,5.993296,51.412859,3.91194,5.636954,-1275.059113
sh.603909,建发合诚,2018-11-06,9.462425,9.462425,9.09528291,9.18612219,940400.0,22907551.0,3.7616,-4.033216,49.339268,3.754163,5.409603,-1223.633241
sh.603909,建发合诚,2018-11-07,9.18612219,9.27696147,9.09528291,9.21640195,582000.0,14085814.0,2.328,0.329625,49.501902,3.766538,5.427435,-1227.666643
sh.603909,建发合诚,2018-11-08,9.22775686,9.22775686,9.01958351,9.03850836,501000.0,12069699.0,2.004,-1.93019,48.546424,3.693837,5.322675,-1203.970408
sh.603909,建发合诚,2018-11-09,9.0082286,9.1217777,8.9325292,9.05364824,338700.0,8110357.0,1.3548,0.167508,48.627742,3.700024,5.331591,-1205.987109
sh.603909,建发合诚,2018-11-12,9.14827249,9.14827249,8.97794884,9.09528291,654606.0,15675176.0,2.618424,0.459869,48.851364,3.717039,5.356109,-1211.533036
sh.603909,建发合诚,2018-11-13,9.00444363,9.20504704,8.93631417,9.11042279,775500.0,18574772.0,3.102,0.166455,48.932681,3.723226,5.365025,-1213.549737
sh.603909,建发合诚,2018-11-14,9.6516735,9.6516735,9.1974771,9.2353268,1191263.0,29401109.0,4.765052,1.371001,49.603549,3.774272,5.438579,-1230.187519
sh.603909,建发合诚,2018-11-15,9.21640195,9.30724123,9.12556267,9.27696147,778063.0,19023542.0,3.112252,0.450822,49.827172,3.791287,5.463097,-1235.733446
sh.603909,建发合诚,2018-11-16,9.28074644,9.52676949,9.28074644,9.45485506,1002000.0,24943126.0,4.008,1.917582,50.78265,3.863988,5.567857,-1259.429681
sh.603909,建发合诚,2018-11-19,9.40943542,9.53433943,9.35644584,9.42836027,609900.0,15163779.0,2.4396,-0.280223,50.640345,3.85316,5.552255,-1255.900455
sh.603909,建发合诚,2018-11-20,9.45864003,9.45864003,9.24668171,9.25046668,519900.0,12823279.0,2.0796,-1.88679,49.684866,3.780459,5.447495,-1232.20422
sh.603909,建发合诚,2018-11-21,9.25046668,9.2731765,9.09528291,9.26182159,454300.0,11023856.0,1.8172,0.122745,49.745854,3.7851,5.454182,-1233.716745
sh.603909,建发合诚,2018-11-22,9.1974771,9.3867256,9.1974771,9.35266087,593300.0,14587648.0,2.3732,0.980792,50.233758,3.822224,5.507676,-1245.81695
