code,name,date,open,high,low,close,volume,amount,turn,pctChg,isST,peTTM,pbMRQ,psTTM,pcfNcfTTM,isTrading
sh.600000,浦发银行,2024-11-01,9.56979062,9.70567,9.48243959,9.64743598,43939258.0,435757873.34,0.1497,1.0163,0,6.640129,0.455872,1.711628,1.19654,1
sh.600000,浦发银行,2024-11-04,9.67655299,9.70567,9.55037928,9.69596433,33773247.0,335231218.57,0.1151,0.503,0,6.67353,0.458165,1.720238,1.202558,1
sh.600000,浦发银行,2024-11-05,9.67655299,9.76390402,9.61831897,9.76390402,41474815.0,414411280.18,0.1413,0.7007,0,6.720292,0.461375,1.732291,1.210985,1
sh.600000,浦发银行,2024-11-06,9.74449268,9.84154938,9.6086133,9.65714165,74208723.0,740524750.76,0.2528,-1.0934,0,6.64681,0.45633,1.71335,1.197743,1
sh.600000,浦发银行,2024-11-07,9.64743598,9.97742876,9.62802464,9.97742876,64397191.0,650432795.74,0.2194,3.3166,0,6.867257,0.471465,1.770174,1.237468,1
sh.600000,浦发银行,2024-11-08,10.02595711,10.05507412,9.73478701,9.76390402,53764728.0,545876292.68,0.1832,-2.1401,0,6.720292,0.461375,1.732291,1.210985,1
sh.600000,浦发银行,2024-11-11,9.6086133,9.82213804,9.37567722,9.43391124,80000294.0,779227779.97,0.2726,-3.3797,0,6.493165,0.445782,1.673745,1.170057,1
sh.600000,浦发银行,2024-11-12,9.44361691,9.53096794,9.37567722,9.37567722,49682703.0,483318065.23,0.1693,-0.6173,0,6.453083,0.44303,1.663413,1.162834,1
sh.600000,浦发银行,2024-11-13,9.34656021,9.45332258,9.3174432,9.34656021,43872201.0,423812435.16,0.1495,-0.3106,0,6.433043,0.441654,1.658247,1.159223,1
sh.600000,浦发银行,2024-11-14,9.32714887,9.42420557,9.28832619,9.36597155,45451896.0,438914971.64,0.1549,0.2077,0,6.446403,0.442572,1.661691,1.161631,1
sh.600000,浦发银行,2024-11-15,9.32714887,9.4144999,9.2203865,9.25920918,48821231.0,469147894.39,0.1663,-1.1399,0,6.372921,0.437527,1.642749,1.148389,1
sh.600000,浦发银行,2024-11-18,9.36597155,9.8027267,9.35626588,9.54067361,100696552.0,999828599.13,0.3431,3.0398,0,6.566647,0.450827,1.692686,1.183298,1
sh.600000,浦发银行,2024-11-19,9.56008495,9.75419835,9.38538289,9.50185093,73998208.0,728900945.54,0.2521,-0.4069,0,6.539926,0.448992,1.685798,1.178483,1
sh.600000,浦发银行,2024-11-20,9.48243959,9.56008495,9.40479423,9.42420557,45465799.0,442364519.96,0.1549,-0.8172,0,6.486485,0.445323,1.672023,1.168853,1
sh.600000,浦发银行,2024-11-21,9.42420557,9.48243959,9.39508856,9.43391124,29612755.0,287464178.32,0.1009,0.103,0,6.493165,0.445782,1.673745,1.170057,1
sh.600000,浦发银行,2024-11-22,9.43391124,9.46302825,9.19126949,9.20097516,44359024.0,425677484.65,0.1511,-2.4691,0,6.33284,0.434775,1.632418,1.141167,1
sh.600000,浦发银行,2024-11-25,9.32714887,9.32714887,9.03597877,9.05539011,60921995.0,573140419.77,0.2076,-1.5823,0,6.232637,0.427896,1.606588,1.12311,1
sh.600000,浦发银行,2024-11-26,9.04568444,9.05539011,8.94862774,9.03597877,48983389.0,454616327.47,0.1669,-0.2144,0,6.219276,0.426978,1.603144,1.120703,1
sh.600000,浦发银行,2024-11-27,9.03597877,9.19126949,8.90980506,9.15244681,43007443.0,401498754.5,0.1465,1.2889,0,6.299439,0.432482,1.623808,1.135148,1
sh.600000,浦发银行,2024-11-28,9.21068083,9.25920918,9.05539011,9.16215248,39154733.0,370385580.07,0.1334,0.106,0,6.306119,0.432941,1.62553,1.136352,1
sh.600000,浦发银行,2024-11-29,9.23979784,9.32714887,9.15244681,9.18156382,46540742.0,443290384.71,0.1586,0.2119,0,6.319479,0.433858,1.628974,1.138759,1
sh.600004,白云机场,2024-11-01,9.48325765,9.52256649,9.37515834,9.48325765,21692355.0,208899529.3,0.9166,-0.3099,0,27.326584,1.263084,3.205916,11.574637,1
sh.600004,白云机场,2024-11-04,9.48325765,9.57170254,9.46360323,9.57170254,16842366.0,162984842.44,0.7116,0.9326,0,27.581444,1.274864,3.235816,11.682587,1
sh.600004,白云机场,2024-11-05,9.54222091,9.69945627,9.5323937,9.68962906,31216598.0,306601592.62,1.319,1.232,0,27.921256,1.290571,3.275683,11.82652,1
sh.600004,白云机场,2024-11-06,9.71911069,9.76824674,9.60118417,9.66014743,29808054.0,293169821.02,1.2595,-0.3043,0,27.836303,1.286644,3.265716,11.790537,1
sh.600004,白云机场,2024-11-07,9.61101138,9.91565489,9.55204812,9.90582768,42611648.0,423803044.82,1.8005,2.5432,0,28.544246,1.319367,3.348771,12.090398,1
sh.600004,白云机场,2024-11-08,9.95496373,10.1220263,9.80755558,9.89600047,51652995.0,521651147.6,2.1825,-0.0992,0,28.515928,1.318058,3.345449,12.078404,1
sh.600004,白云机场,2024-11-11,9.82721,9.89600047,9.76824674,9.83703721,26318814.0,262972065.51,1.112,-0.5958,0,28.346022,1.310204,3.325515,12.006437,1
sh.600004,白云机场,2024-11-12,9.83703721,9.97461815,9.77807395,9.81738279,28360701.0,285154472.49,1.1983,-0.1998,0,28.289386,1.307587,3.318871,11.982448,1
sh.600004,白云机场,2024-11-13,9.79772837,9.88617326,9.74859232,9.82721,17220036.0,171733830.48,0.7276,0.1001,0,28.317704,1.308895,3.322193,11.994443,1
sh.600004,白云机场,2024-11-14,9.79772837,9.79772837,9.65032022,9.65032022,19565032.0,193711527.19,0.8267,-1.8,0,27.807985,1.285335,3.262394,11.778543,1
sh.600004,白云机场,2024-11-15,9.65032022,9.80755558,9.64049301,9.67980185,24999681.0,247990428.79,1.0563,0.3055,0,27.892938,1.289262,3.27236,11.814526,1
sh.600004,白云机场,2024-11-18,9.75841953,9.82721,9.66014743,9.69945627,27916001.0,277068943.8,1.1795,0.203,0,27.949574,1.29188,3.279005,11.838515,1
sh.600004,白云机场,2024-11-19,9.69945627,9.75841953,9.56187533,9.67980185,19736150.0,194164495.12,0.8339,-0.2026,0,27.892938,1.289262,3.27236,11.814526,1
sh.600004,白云机场,2024-11-20,9.66997464,9.71911069,9.61101138,9.69945627,14507114.0,142872456.56,0.613,0.203,0,27.949574,1.29188,3.279005,11.838515,1
sh.600004,白云机场,2024-11-21,9.68962906,9.70928348,9.62083859,9.67980185,14217260.0,139756992.82,0.6007,-0.2026,0,27.892938,1.289262,3.27236,11.814526,1
