code,name,date,open,high,low,close,volume,amount,turn,pctChg,isST,peTTM,pbMRQ,psTTM,pcfNcfTTM,isTrading
sh.600000,浦发银行,2023-08-01,7.09647938,7.14328993,7.05903094,7.1152036,30934266.0,234625800.22,0.1054,0.0,0,4.685104,0.371068,1.194846,3.569567,1
sh.600000,浦发银行,2023-08-02,7.07775516,7.10584149,6.95604773,7.00285828,42654533.0,319717234.73,0.1453,-1.5789,0,4.611129,0.365209,1.17598,3.513206,1
sh.600000,浦发银行,2023-08-03,7.04030672,7.09647938,6.96540984,7.07775516,29329503.0,220449825.24,0.0999,1.0695,0,4.660445,0.369115,1.188557,3.55078,1
sh.600000,浦发银行,2023-08-04,7.10584149,7.16201415,7.05903094,7.09647938,34256817.0,260297665.13,0.1167,0.2646,0,4.672775,0.370091,1.191702,3.560174,1
sh.600000,浦发银行,2023-08-07,7.08711727,7.08711727,7.01222039,7.04030672,26012874.0,195449522.26,0.0886,-0.7916,0,4.635787,0.367162,1.182269,3.531993,1
sh.600000,浦发银行,2023-08-08,6.99349617,7.06839305,6.95604773,7.04030672,27001247.0,202344903.27,0.092,0.0,0,4.635787,0.367162,1.182269,3.531993,1
sh.600000,浦发银行,2023-08-09,7.0215825,7.06839305,6.99349617,7.06839305,17792571.0,133937331.63,0.0606,0.3989,0,4.654281,0.368626,1.186985,3.546083,1
sh.600000,浦发银行,2023-08-10,6.97477195,6.98413406,6.88115085,6.94668562,52865300.0,391107893.93,0.1801,-1.7219,0,4.934704,0.362279,1.201896,3.485025,1
sh.600000,浦发银行,2023-08-11,6.96540984,6.96540984,6.76880553,6.76880553,37051127.0,270665760.63,0.1262,-2.5606,0,4.808343,0.353002,1.17112,3.395786,1
sh.600000,浦发银行,2023-08-14,6.72199498,6.7407192,6.60028755,6.6470981,44245535.0,315007728.13,0.1507,-1.7981,0,4.721886,0.346655,1.150062,3.334727,1
sh.600000,浦发银行,2023-08-15,6.66582232,6.73135709,6.63773599,6.71263287,31218657.0,222582865.62,0.1064,0.9859,0,4.76844,0.350073,1.161401,3.367605,1
sh.600000,浦发银行,2023-08-16,6.69390865,6.73135709,6.66582232,6.68454654,22953985.0,163923268.64,0.0782,-0.4184,0,4.748488,0.348608,1.156541,3.353514,1
sh.600000,浦发银行,2023-08-17,6.67518443,6.68454654,6.60028755,6.6470981,37202484.0,263598981.08,0.1267,-0.5602,0,4.721886,0.346655,1.150062,3.334727,1
sh.600000,浦发银行,2023-08-18,6.6470981,6.71263287,6.61901177,6.61901177,28150555.0,200372018.68,0.0959,-0.4225,0,4.701935,0.34519,1.145203,3.320637,1
sh.600000,浦发银行,2023-08-21,6.60964966,6.65646021,6.51602856,6.51602856,42517681.0,298419531.44,0.1449,-1.5559,0,4.628779,0.33982,1.127385,3.268972,1
sh.600000,浦发银行,2023-08-22,6.53475278,6.59092544,6.52539067,6.56283911,32939985.0,230491370.31,0.1122,0.7184,0,4.662031,0.342261,1.135484,3.292456,1
sh.600000,浦发银行,2023-08-23,6.56283911,6.63773599,6.53475278,6.57220122,30151367.0,212210300.34,0.1027,0.1427,0,4.668682,0.342749,1.137104,3.297153,1
sh.600000,浦发银行,2023-08-24,6.58156333,6.60964966,6.53475278,6.54411489,24604979.0,172413193.49,0.0838,-0.4274,0,4.64873,0.341284,1.132244,3.283063,1
sh.600000,浦发银行,2023-08-25,6.54411489,6.63773599,6.52539067,6.60028755,24703830.0,174021380.63,0.0842,0.8584,0,4.688633,0.344214,1.141963,3.311243,1
sh.600000,浦发银行,2023-08-28,6.8343403,6.85306452,6.66582232,6.69390865,66648091.0,480922455.87,0.2271,1.4184,0,4.755139,0.349096,1.158161,3.358211,1
sh.600000,浦发银行,2023-08-29,6.7407192,6.7407192,6.58156333,6.61901177,50437460.0,357554835.41,0.1718,-1.1189,0,4.701935,0.34519,1.145203,3.320637,1
sh.600000,浦发银行,2023-08-30,6.6470981,6.6470981,6.56283911,6.58156333,28718303.0,202072785.18,0.0978,-0.5658,0,4.675332,0.343237,1.138723,3.30185,1
sh.600000,浦发银行,2023-08-31,6.58156333,6.63773599,6.53475278,6.53475278,32933152.0,231268204.86,0.1122,-0.7112,0,4.64208,0.341231,1.130624,-6.695584,1
sh.600004,白云机场,2023-08-01,14.1056577,14.38855125,14.0276181,14.11541265,21192682.0,307694698.13,0.8954,0.6259,0,-36.286582,1.987224,8.37052,38.304953,1
sh.600004,白云机场,2023-08-02,14.047128,14.13492255,13.74472455,13.76423445,17139905.0,243693526.45,0.7242,-2.4879,0,-35.383806,1.937784,8.162269,37.351961,1
sh.600004,白云机场,2023-08-03,13.7349696,13.8130092,13.58864535,13.74472455,13542116.0,189881205.26,0.5722,-0.1417,0,-35.333652,1.935037,8.1507,37.299017,1
